ponto,IMPa_Fiber,IMPa_Fragment,IMPa_pellet,MP_Fiber,MP_Fragment,MP_pellet
P1,1103.6626071252765,259.43397113253206,0.0,12.0,3.0,0.0
P2,564.9965884143438,79.31903175618217,15.215232646455835,6.0,4.0,2.0
P3,579.9732729384604,22.298960973345423,0.0,12.0,1.0,0.0
P4,306.43198088097483,0.0,0.0,6.0,0.0,0.0
P5,351.2982561545344,0.0,0.0,4.0,0.0,0.0
P6,0.0,189.83855650810102,60.72623321274081,0.0,16.0,2.0
P7,853.7387381704112,61.04955354849864,0.0,8.0,1.0,0.0
P8,1889.1340301890934,702.8023234842639,0.0,19.0,4.0,0.0
P9,1643.7264150457536,171.87178542192453,0.0,18.0,2.0,0.0
